# form	sources — set aside by tools/build_lexicon.py, out of scope for a
# single-word speller and kept for whatever handles phrases later
шоғырлану коэффициенті	kazdict
шоқ ағаш	kazdict
шоқ басқан тайлақтай	kazdict
шоқ басқандай	kazdict
шоқ басқандай шошынды	kazdict
шоқ гүл	kazdict
шоқ итқонақ	kazdict
шоқ тигендей	kazdict
шоқ шайнады	kazdict
шоқ қамыстай	kazdict
шоқ-шоқ бас	kazdict
шоқай ағаш	kazdict
шоқпар саптайды	kazdict
шоқпар тартысу	kazdict
шоқпардай оңтайлану	kazdict
шоқпарын басына ойнатты	kazdict
шоқпыт бөрік	kazdict
шоқтай жайнау	kazdict
шоқтай иіру	kazdict
шоқтай күйдіру	kazdict
шоқтай ыстық	kazdict
шоқтай қызыл	kazdict
шоқтығы асты	kazdict
шоқтығы биік	kazdict
шоқтығы биіктеді	kazdict
шоқтығы шығыңқырады-	kazdict
шоқтығы өсті	kazdict
шоқтығын биіктетті	kazdict
шоқша сақал	kazdict
шоқы i	kazdict
шоқы ii	kazdict
шоқынып кетті	kazdict
шоқып жіберу	kazdict
шоққа отырғызды	kazdict
шоң. шоң мұрын	kazdict
шоңайна жүрені	kazdict
шоңқайма етік	kazdict
шоңқиып отыру	kazdict
шпанка беру	kazdict
шпутталған тақталар	kazdict
штамм теориясы	kazdict
штанга табақшасы	kazdict
штанга құлыбы	kazdict
штанганы әдейі лақтыру	kazdict
штаттан тыс жұмыскер	kazdict
штаттан тыс қызметкер	kazdict
штаттан тыс қызметкерлер	kazdict
штаттағы оқытушы	kazdict
штатты қысқарту	kazdict
штаттық бірлік	kazdict
штаттық кесте	kazdict
штаттық орналастыру	kazdict
штаттық құрылым	kazdict
штурман қолхаты	kazdict
шу асау	kazdict
шу дегенде	kazdict
шу дегеннен	kazdict
шу қара құйрық	kazdict
шу қара құйрық деп	kazdict
шу: шу асау	kazdict
шу: шу аяқ	kazdict
шуағын төкті	kazdict
шуақ /68	kazdict
шуақ боп төгілді	kazdict
шуақ шашты	kazdict
шуақты күннің лебі ескендей	kazdict
шуда жіп	kazdict
шуда жіптей созылды	kazdict
шуда жіптей созылған	kazdict
шукр ли-л-ләһи	kazdict
шулы аяқ	kazdict
шумақ i	kazdict
шумақ ii	kazdict
шумер тілі	kazdict
шыбжық торғай	kazdict
шыбжың етті	kazdict
шыбжыңдаған ешкідей	kazdict
шыбын жан	kazdict
шыбын жаннан кеткендей	kazdict
шыбын жаны шырқырады	kazdict
шыбын ғұрлы көрмеді	kazdict
шыбын қағар	kazdict
шыбын құрлы көрмеді	kazdict
шыбын өлімі ғұрлы көрмеді	kazdict
шыбын: шыбын қанат	kazdict
шыбындай жан	kazdict
шыбындай жаны шығу	kazdict
шыбындай жанын аямау	kazdict
шыбындай жанын салу	kazdict
шыбындай қырылу	kazdict
шыбындай әлсіз	kazdict
шыбынның ұшқаны білініп тұрады	kazdict
шыбынша үймелеу	kazdict
шыбыны торғайдай шырылдау	kazdict
шыбыны шиқылдау	kazdict
шыбыны ұшты	kazdict
шыбынын шырылдатты	kazdict
шыбыш құлақ су	kazdict
шыбығы шырпылмай	kazdict
шыбық майы	kazdict
шыбық қора	kazdict
шыбықтай белі бұралу	kazdict
шыдайсың екен - шыда	kazdict
шыдамы бітті	kazdict
шыдамы жетпеді	kazdict
шыдамы кетті	kazdict
шыдас бермеді	kazdict
шыж көбелек болу	kazdict
шыж-быжы шықты	kazdict
шыжақ: шыжақ қағу	kazdict
шыжымдап жеткізді	kazdict
шыжымдап тарту	kazdict
шыжымдап ұстау	kazdict
шыжымды. шыжымды сере	kazdict
шылан бітпеу	kazdict
шылан түспеу	kazdict
шылау i	kazdict
шылау ii	kazdict
шылау iii	kazdict
шылау сөздер	kazdict
шылауына оратылды	kazdict
шылауында болды [жүрді	kazdict
шылбыр берді	kazdict
шылбыр тастарлық жер	kazdict
шылбыр қашаған	kazdict
шылбыр ұстатпады	kazdict
шылбыр ұстату	kazdict
шылбыр ұшын беру	kazdict
шылбыр ұшын сұрады	kazdict
шылбыр. шылбыр жіп	kazdict
шылбырына жармасты	kazdict
шылым ату	kazdict
шылым тартым	kazdict
шылғи мес	kazdict
шылқия тойды	kazdict
шым болу	kazdict
шым бұлау	kazdict
шым жібек	kazdict
шым кесте	kazdict
шым ши	kazdict
шым ши//шымырау ши	kazdict
шым қара	kazdict
шым үй	kazdict
шым-шым шымалақ	kazdict
шым-шым: шым-шым қайнады	kazdict
шым-шымдап сөйледі	kazdict
шымбай: шымбайына батты	kazdict
шымбайына батты	kazdict
шымбал пеш	kazdict
шымша батып кетті	kazdict
шымшылдық қас//шымылдықтың қасы	kazdict
шымшыма аяз	kazdict
шымшыма әзіл	kazdict
шымшық дауыл	kazdict
шымылдығың желбіреп [желкілдеп	kazdict
шымылдығың желпілдеп тұр ма	kazdict
шымылдық байлар	kazdict
шымылдық боп тұрғандай	kazdict
шымылдық пеш	kazdict
шымылдықтай жайқалу	kazdict
шымылдықтай толқу	kazdict
шымылдықтай шалқу	kazdict
шымылдықтың қасы	kazdict
шымыр денелі	kazdict
шымыр етті	kazdict
шымыр түйе	kazdict
шымырау ши	kazdict
шымыраулы ши	kazdict
шымырауылша//шымыраулы ши	kazdict
шымқай қызыл	kazdict
шын /90	kazdict
шын айтайында	kazdict
шын жара	kazdict
шын жүректен	kazdict
шын мәнісінде	kazdict
шын ниетпен	kazdict
шын сұлудай албырау	kazdict
шын ғашық	kazdict
шын әңгіме	kazdict
шынайы адалдылық	kazdict
шынайы меридиан	kazdict
шынайы құн	kazdict
шынар қоржын	kazdict
шынардың ағашындай	kazdict
шынатақ құрақ	kazdict
шынашағын шошайту	kazdict
шынашағын шыйыру//шына-шағын шошайту	kazdict
шынашақ елі	kazdict
шынашаққа тұрмайды	kazdict
шынақай жастық	kazdict
шындығын айтқанда	kazdict
шындық сөзі	kazdict
шындықты іс жүзінен іздеу	kazdict
шындыққа жүгінді	kazdict
шынжыр балақ	kazdict
шынжыр тігу	kazdict
шынжыр қатар	kazdict
шынжырлы шен	kazdict
шынның жүзі	kazdict
шынтуайтқа келгенде	kazdict
шыны жұмыстары	kazdict
шыны кебектену	kazdict
шыны кеседей	kazdict
шыны көз	kazdict
шыны мақта	kazdict
шыны мұз	kazdict
шыны тұлпар	kazdict
шыны қар	kazdict
шыныбетонды конструкция	kazdict
шыныдан аппақ	kazdict
шып етпеу	kazdict
шып ету	kazdict
шып-шырға: шып-шырғасын шығармау	kazdict
шып-шырғасы түгел-	kazdict
шып-шырғасы шықпады	kazdict
шыптасына шыбын қонбау	kazdict
шыпшық боп жүру	kazdict
шыр айналды	kazdict
шыр айналдырды	kazdict
шыр айналу	kazdict
шыр айналып бара жатқандай	kazdict
шыр біткізбеді	kazdict
шыр бітпеген кедей	kazdict
шыр бітпеді	kazdict
шыр бітті	kazdict
шыр бітірді	kazdict
шыр етті	kazdict
шыр етіп дүниеге келді	kazdict
шыр етіп жерге түскелі	kazdict
шыр етіп жерге түскеннен	kazdict
шыр етіп түсті	kazdict
шыр жоқ	kazdict
шыр жұқпады	kazdict
шыр жұқтырды	kazdict
шыр көбелек айналды	kazdict
шыр-пыр: шыр-пыр болу	kazdict
шыр-шыр етті	kazdict
шыр: шыр айналды	kazdict
шыр: шыр етті	kazdict
шыра шөлмек	kazdict
шырадай жайнау	kazdict
шырадай жану	kazdict
шырадай тымық	kazdict
шырай ашпау	kazdict
шырай берді	kazdict
шырай жазу	kazdict
шырай күшейткіштері	kazdict
шырайы түзелді	kazdict
шырайын жылытты	kazdict
шырапасын шыр айналдыру	kazdict
шырапатын бұзу	kazdict
шыраштап тігу	kazdict
шырағы өшті	kazdict
шырақ болу	kazdict
шырақ көрмеді	kazdict
шырдай қылу	kazdict
шырмалғыш. шырмалғыш сабақтар	kazdict
шырмау салынды	kazdict
шырмау сөз	kazdict
шырмауықша ілесу	kazdict
шырмашату болу	kazdict
шырпыны шығу	kazdict
шырт ете қалды	kazdict
шырт еткізді	kazdict
шырт етпе	kazdict
шырт етпе мінез	kazdict
шырт етті	kazdict
шырт ету	kazdict
шырт қараңғы	kazdict
шырт ұйқы	kazdict
шырт ұйқыда	kazdict
шырт ұйқыда жатыр	kazdict
шырт ұйқыдан оянғандай	kazdict
шырт: шырт етті	kazdict
шырт: шырт ұйқыда жатқан	kazdict
шырттай қараңғы	kazdict
шыршық салу	kazdict
шырылдауық шегіртке	kazdict
шырылдауық. шырылдауық торғай	kazdict
шырылдаған дауыс	kazdict
шырылдақ дауыс	kazdict
шырынсыз түйе	kazdict
шырыш бұзды	kazdict
шырыш бұзу	kazdict
шырыштай топ	kazdict
шырық шырық	kazdict
шырық: шырқын бұзды	kazdict
шырға тартты	kazdict
шырғалаңға түсті	kazdict
шырғанақ майы	kazdict
шырғасы берік	kazdict
шырғасын шығармау	kazdict
шырқ бұзды	kazdict
шырқ иірді	kazdict
шырқ: шырқ айналды	kazdict
шырқау биік	kazdict
шырқын бұзды	kazdict
шырқын бұзу	kazdict
шырқын кетіру	kazdict
шырқын шығару	kazdict
шыт i	kazdict
шыт ii	kazdict
шыт тастау	kazdict
шыттай жаңа	kazdict
шытымыр аяз	kazdict
шытына қарады	kazdict
шытынай қалды	kazdict
шытыр i	kazdict
шытыр жеген түйедей	kazdict
шытыр іі	kazdict
шытыралы жүзік	kazdict
шытырма қазық	kazdict
шытырман жол	kazdict
шытырман ой	kazdict
шытқыл аяз	kazdict
шыға беріп тұру	kazdict
шыға ойлады	kazdict
шыға ойламады	kazdict
шығайбайдай қатаю	kazdict
шыған тоғайда	kazdict
шығанақ ату	kazdict
шығанда біреу	kazdict
шығаннан шығу	kazdict
шығаннан шыққан	kazdict
шығанға шығу	kazdict
шығанға шықты	kazdict
шығар тауы биіктеді	kazdict
шығарда жаны басқа	kazdict
шығарда жаны бір	kazdict
шығарма i	kazdict
шығарма ii	kazdict
шығарма сөз	kazdict
шығарма тілі	kazdict
шығарма түрінің ғылымы	kazdict
шығарманы қабылдау	kazdict
шығармашыл жұмыскер	kazdict
шығармашылық еңбек	kazdict
шығармашылық одақ	kazdict
шығармашылық психология	kazdict
шығармашылық психологиясы	kazdict
шығармашылық синтез	kazdict
шығармашылық қызмет	kazdict
шығаруды тоқтату	kazdict
шығарылатын құжат	kazdict
шығарып салды	kazdict
шығарып салма жауап	kazdict
шығарып салушы автомашина	kazdict
шығарға жаны бөлек	kazdict
шығарға шығу	kazdict
шығарғы әңгіме	kazdict
шығасыдан сақтандыру	kazdict
шығасыға иесі басшы	kazdict
шығу i	kazdict
шығу ii	kazdict
шығу iii	kazdict
шығу мәліметтері	kazdict
шығуы туралы сертификат	kazdict
шығын ақысы төленетін шарт негізінде төлеу	kazdict
шығын болды	kazdict
шығын эксцеденті	kazdict
шығын эксцеденті негізіндегі қайта сақтандыру	kazdict
шығын эксцедентінің шарты	kazdict
шығын-пайда талдауы	kazdict
шығындар инфляциясы	kazdict
шығындар нормативі	kazdict
шығындар резерві	kazdict
шығындарды азайту міндеті	kazdict
шығындарды бөлісу жүйесі	kazdict
шығындарды жою	kazdict
шығындарды реттеу	kazdict
шығындарды әділ үлестіру	kazdict
шығындарды өтеу	kazdict
шығынды азайту	kazdict
шығынды өтеу	kazdict
шығындылық эксцеденті	kazdict
шығындылық эксцедентінің шарты немесе «стоп лосе» шарты	kazdict
шығынын [орнын	kazdict
шығынға батты	kazdict
шығынға ұшырады	kazdict
шығынға ұшыратты	kazdict
шығып кету	kazdict
шығыр тарту	kazdict
шығыс ii	kazdict
шығыс iii	kazdict
шығыс ақындары-	kazdict
шығыс жекпе-жегі	kazdict
шығыс і	kazdict
шығыс құжат	kazdict
шығыстар сметасы	kazdict
шығыстың шолпанындай	kazdict
шығыт киім	kazdict
шық бермес шыгайбай	kazdict
шық бермес шығайбай	kazdict
шық жуытпады	kazdict
шық. шыға келгенсі	kazdict
шықбайтал болу	kazdict
шықпаған шыбын жан	kazdict
шықпырт тигендей	kazdict
шықыр-шықыр: шықыр-шықыр етті	kazdict
шыққа малынды	kazdict
шыққан мүйізің қайсы	kazdict
шыққан тауы биік болды	kazdict
шыққан тауы биік болсын	kazdict
шыңнан аққан бұлақтай	kazdict
шыңылтыр аяз	kazdict
шыңылтыр бие	kazdict
шыңына жетті	kazdict
шыңырау құдық	kazdict
шыңға шығу	kazdict
шьімбайына батты-	kazdict
шігіт майы	kazdict
шідер. шідер бойы	kazdict
шіл боғындай бытырады	kazdict
шіл боғындай бытырау	kazdict
шіл боғындай тозды	kazdict
шіл бөрі	kazdict
шіл. шіл аяқ. шіл сирақ	kazdict
шілгір ыстық	kazdict
шілде туды	kazdict
шілде қоңыз	kazdict
шілдеде мұз қатырған	kazdict
шілдедегі мұзша еру	kazdict
шілдей тоздырды	kazdict
шілдехана күзетті	kazdict
шілдехана тойы	kazdict
шілдің құмалағындай тозды [азайды	kazdict
шілтеннің шылауы тиді	kazdict
шілтер. шілтер біз	kazdict
шілтерлі кесте	kazdict
шіліңгер ыстық	kazdict
шіміріккен жоқ	kazdict
шін ұлтан	kazdict
шіркеу келтірді	kazdict
шіріген жұмыртқа	kazdict
шіріген жұмыртқа-	kazdict
шіш шіш	kazdict
шіңгірлек домбыра	kazdict
шүберектей қуару	kazdict
шүберекше жырту	kazdict
шүбә келтіру	kazdict
шүй желке	kazdict
шүйде ілмегі	kazdict
шүйдесін көрсетті	kazdict
шүйке жүн	kazdict
шүйке кемпір	kazdict
шүйліге түсті	kazdict
шүймек темір	kazdict
шүйігін үзу	kazdict
шүйіркелесе кетті	kazdict
шүкірана [шүкір	kazdict
шүкірлік етті	kazdict
шүкірлік: шүкірлік етті	kazdict
шүкіршілік етті	kazdict
шүкәтім жер	kazdict
шүлдік сап	kazdict
шүлен етті	kazdict
шүлен таратты	kazdict
шүмектеп төккендей	kazdict
шүмектеп құйды	kazdict
шүпірлесіп жатты	kazdict
шүршіт бөз	kazdict
шүршіттің тілі	kazdict
шүтік шыра	kazdict
шүқанақ құдық	kazdict
шүңірек көз	kazdict
шұбалаңқы тартты	kazdict
шұбар ала	kazdict
шұбар ала жыландай	kazdict
шұбар жыландай	kazdict
шұбар жыланның басындай жарқырау	kazdict
шұбар күзен	kazdict
шұбар көкек	kazdict
шұбар топ-	kazdict
шұбар тоқылдақ	kazdict
шұбар төс	kazdict
шұбар шабақ	kazdict
шұбар. шұбар кесіртке	kazdict
шұбырту//ақбаспа болып шұбырту	kazdict
шұжық білезік	kazdict
шұлықша тоқу	kazdict
шұлғау. шұлғауын мойнына іліп жүретін	kazdict
шұнақ [шыңылтыр	kazdict
шұнақ қар	kazdict
шұнақ құдай	kazdict
шұрайлы жер	kazdict
шұрайлы қоныс	kazdict
шұрық: шұрық тесік	kazdict
шұрқ тесік	kazdict
шұрқ: шұрқ етпе	kazdict
шұрқан салды	kazdict
шұрқан шығару	kazdict
шұғыл еңбек келісімі	kazdict
шұғыл лизинг	kazdict
шұғыл шаралық бүркеме	kazdict
шұғыл әрекет	kazdict
шұқырлау ii	kazdict
шұқырлау і	kazdict
шұңғыл. шұңғыл келі	kazdict
шұңқыр салма	kazdict
шұңқыр талас//топ таяқ	kazdict
шәй демеу	kazdict
шәйымға келтірмеу	kazdict
шәйқап ішіп жеу	kazdict
шәй’ун лиллә	kazdict
шәл далалы жер	kazdict
шәлкем салу	kazdict
шәмс-у қамар	kazdict
шәпи / шәфи	kazdict
шәргез келді	kazdict
шәрім жер	kazdict
шәу болды	kazdict
шәуген доп	kazdict
шәуешекке сапары	kazdict
шәулі құс	kazdict
шөбі еміп тұр	kazdict
шөбі түсті	kazdict
шөбі түсу	kazdict
шөбің жапырылмасын	kazdict
шөгел жі гі т	kazdict
шөгіп кетті	kazdict
шөже көз	kazdict
шөже торғай	kazdict
шөк атым жер	kazdict
шөк. шөккен түйедей	kazdict
шөке ату	kazdict
шөккен бұлттай	kazdict
шөккен нардай	kazdict
шөккен нардай боп қарауыту	kazdict
шөккен нардай теңкию	kazdict
шөккен нардай үлкен	kazdict
шөккен тастай	kazdict
шөл бидай	kazdict
шөл дала	kazdict
шөл даладай	kazdict
шөл жалбыз	kazdict
шөл зебрі	kazdict
шөл тартты	kazdict
шөл қалдыру	kazdict
шөл қарсақ болды	kazdict
шөл қарсақ болу	kazdict
шөл қағу	kazdict
шөл қақты болу//шөл қағу	kazdict
шөл қою	kazdict
шөл қысты	kazdict
шөл. шөл ағашы	kazdict
шөлдегі шыңыраудай көз суалған	kazdict
шөлкем-шалыс келді	kazdict
шөлмек i	kazdict
шөлмек ii	kazdict
шөлмек мың күн сынбас	kazdict
шөлмек. шөлмек айналдыру	kazdict
шөлмектей сыну	kazdict
шөліркенген даладай қуаңсу	kazdict
шөміш: шөміш қақты	kazdict
шөміштен қысты	kazdict
шөп басты	kazdict
шөп басын [саусағының басын	kazdict
шөп басын сындырмады	kazdict
шөп басын қимылдату	kazdict
шөп етті	kazdict
шөп жеген иттей	kazdict
шөп желке	kazdict
шөп. шөп машинасы	kazdict
шөпкер үй	kazdict
шөптен тауып өлу	kazdict
шөптің шары	kazdict
шөпше шабу	kazdict
шөре-шөре болды	kazdict
шөңге болды	kazdict
шөңге саусақ	kazdict
ыза басты [болды	kazdict
ыза болды	kazdict
ыза буды	kazdict
ыза етті	kazdict
ыза кернеді	kazdict
ыза көтерілу	kazdict
ыза соғу	kazdict
ыза суы	kazdict
ыза шекті	kazdict
ыза шығу	kazdict
ыза шықты	kazdict
ызалану//ыза болу	kazdict
ызалы жер	kazdict
ызалы жүрек	kazdict
ызалы рай	kazdict
ызасы келді	kazdict
ызасы түсу//ызасы қозғалу	kazdict
ызасы қайнау	kazdict
ызасы қозғалу	kazdict
ызаға булықты	kazdict
ызба. ызба айыл. ызба бау	kazdict
ызы болу	kazdict
ызынап тұр	kazdict
ызыңдаған шегірткедей	kazdict
ызғар соққандай	kazdict
ызғар су	kazdict
ызғар шашты	kazdict
ызғарлы суық көрдей	kazdict
ызғары қатты	kazdict
ызғып жатқан	kazdict
ызғырық боран	kazdict
ызғырық жел	kazdict
ыйва қылу	kazdict
ылаж: ылажы құрыды	kazdict
ылай айдау	kazdict
ылай жаю	kazdict
ылаң салды	kazdict
ылбыраған сұлу	kazdict
ылдидан салса	kazdict
ылып ету	kazdict
ылыққан иттей	kazdict
ылғал жабу	kazdict
ылғал жабушы	kazdict
ылғалды гангрена	kazdict
ылғалсақтағыш гипсокартонды табақтар	kazdict
ылғалға төзімділік	kazdict
ылғап алу	kazdict
ылғи ғана	kazdict
ым тілі	kazdict
ым қақты	kazdict
ым-жымы бір	kazdict
ыммен сөйлеу	kazdict
ымыра: ымыраға келмеді	kazdict
ымыралы дыбыс	kazdict
ымырасыз дыбыстар	kazdict
ымыраға келді	kazdict
ымырт жабылды	kazdict
ымырт жамырады	kazdict
ымырт түсті	kazdict
ындыны ашылды	kazdict
ындыны жарымаған	kazdict
ындыны кепті	kazdict
ындық өту	kazdict
ынжық туды	kazdict
ынсапқа енді	kazdict
ынтаны бұзды	kazdict
ынтасын жұлқындырды	kazdict
ынтызар етті	kazdict
ынтымағы артты	kazdict
ынтымағы жарасты	kazdict
ынтымаққа келтірді	kazdict
ынтыға келу	kazdict
ынтығы құрыды	kazdict
ынтығын құртты	kazdict
ынтық болды	kazdict
ынтық қағу	kazdict
ыпыны қашты	kazdict
ыра болу	kazdict
ырандап қалу	kazdict
ыраң жеген жылқыдай	kazdict
ырдуан арба	kazdict
ыржалаң қақты	kazdict
ыржаң: ыржаң ете түсті	kazdict
ырза болды	kazdict
ырза болғандай	kazdict
ырза етті	kazdict
ыршыма мен шәкірт	kazdict
ыршып кетті	kazdict
ыршып түсу	kazdict
ырым етті	kazdict
ырымға жоқ	kazdict
ырыс дарыған	kazdict
ырыс қашты	kazdict
ырыс қонды	kazdict
ырысы бес елі	kazdict
ырысы қайтты	kazdict
ырық бермеді	kazdict
ырықсыз етіс	kazdict
ырықсыз зейін	kazdict
ырықты зейін	kazdict
ырың-жырың болды	kazdict
ырғай мойын	kazdict
ырғақ i	kazdict
ырғақ ii	kazdict
ырғақты даму	kazdict
ырғақты екпін	kazdict
ырғақты жорғақ	kazdict
ырғақты қарасөз	kazdict
ырғыз жиналысы	kazdict
ырғыз съезі	kazdict
ырқына бас алдырды	kazdict
ырқына жібермеді [қоймады	kazdict
ырқына көнді	kazdict
ыс i	kazdict
ыс ii	kazdict
ыспа ағаш	kazdict
ыспа көрген	kazdict
ыссы кету	kazdict
ыссының күні	kazdict
ыстығы басылды	kazdict
ыстығына күйіп	kazdict
ыстық /24	kazdict
ыстық болды	kazdict
ыстық ботқадай жабысты	kazdict
ыстық жас	kazdict
ыстық жүрек	kazdict
ыстық жүректі	kazdict
ыстық көрді	kazdict
ыстық сезім	kazdict
ыстық сорпа төгілгендей	kazdict
ыстық сөз	kazdict
ыстық тартты	kazdict
ыстық ықылас білдірілді	kazdict
ыстық ішпеді	kazdict
ыстық қанды жан	kazdict
ыстық қоныс	kazdict
ыстық қорғасындай құйылу	kazdict
ыстық құрт	kazdict
ыстық үй//бәшін	kazdict
ыстық-суығына бірдей төзді	kazdict
ыстық-суықты көрген	kazdict
ыстық. ыстығы көтерілді	kazdict
ыстыққа ұрындырды	kazdict
ысу i	kazdict
ысу ii	kazdict
ысырап болды	kazdict
ысырап етті	kazdict
ысытпа жасады	kazdict
ысқырық аяз	kazdict
ытқып-ытқып: ытқып-ытқып кетті	kazdict
ыш / іш	kazdict
ышықты жер	kazdict
ышықты: ышықты жер	kazdict
ышқа//ышқы қамыс	kazdict
ышқы ауу	kazdict
ышқы қамыс	kazdict
ығай мен сығай	kazdict
ығы бар	kazdict
ығы жөні	kazdict
ығы. ығы келмеді. ығы кетті	kazdict
ығылам ету	kazdict
ығылам қылу	kazdict
ығылам: ығылам ету	kazdict
ығын есті	kazdict
ығын табу	kazdict
ығын: ығын есу	kazdict
ығына көшті	kazdict
ығып тұру	kazdict
ығыр атан	kazdict
ығыр болды	kazdict
ығыр болды [етті	kazdict
ығыр етті	kazdict
ығыр қылды	kazdict
ығытын табу	kazdict
ық i	kazdict
ық ii	kazdict
ық болу	kazdict
ықпа ау	kazdict
ықпа//ықпа ау	kazdict
ықпал етті	kazdict
ықпал ету агенті	kazdict
ықпалды топ	kazdict
ықпалы тиді	kazdict
ықпалын тигізді	kazdict
ықтай жалдау	kazdict
ықтау i	kazdict
ықтау іі	kazdict
ықтимал апаттар	kazdict
ықтималдық логика	kazdict
ықтималдық теориясы	kazdict
ықтияр етпеу	kazdict
ықтияр ету	kazdict
ықтын қора	kazdict
ықтырма жел	kazdict
ықы-тықы жоқ	kazdict
ықылас аударды	kazdict
ықылас бөлу	kazdict
ықылас пейіл	kazdict
ықылас салды	kazdict
ықылас қойды	kazdict
ықылас. ықылас батасы	kazdict
ықыластық білдірді	kazdict
ықыласы ауды	kazdict
ықыласы ауды [құлады	kazdict
ықыласы түзу	kazdict
ықыласқа бөленді	kazdict
ықылым заман	kazdict
ықылым заманда	kazdict
ықылымнан бері	kazdict
ықылық атты	kazdict
ықылық: ықылық атты	kazdict
ыққа кету	kazdict
ың жоқ	kazdict
ыңыршағы айналып кетті	kazdict
ыңыршағы айналғаи кедей	kazdict
ыңыршағы айналған кедей	kazdict
ыңыршағы айналғанша	kazdict
ыңыршағы шыққан	kazdict
ыңыршағы шыққан кедей	kazdict
ыңыршағың айналғыр	kazdict
ыңыршақ ер	kazdict
ыңыршақ көру	kazdict
ыңыршақ: ыңыршағы айналды	kazdict
ыңғай i	kazdict
ыңғай ii	kazdict
ыңғай болу	kazdict
ыңғайы келді	kazdict
ыңғайы келмеді	kazdict
ыңғайына [ырқына	kazdict
ыңғайына есті	kazdict
ыңғайына көнді	kazdict
ыңғылы тәуір	kazdict
ыңғыты келу	kazdict
ыңқ етпеді	kazdict
ыңқылы-сыңқылы бар	kazdict
ыңқытып алды	kazdict
ьізасы өтті	kazdict
эволюция және революция	kazdict
эволюциялық теория	kazdict
эволюциялық этика	kazdict
эволюциялық әмбебаптық	kazdict
эвристикалық ұстаным	kazdict
эго-қорғаныстық жүріс-тұрыс	kazdict
эгоорталықтандырылған сөз	kazdict
эдип комплексі	kazdict
эдип мифі	kazdict
эзоп тілі	kazdict
эзотерикалық және экзотерикалық	kazdict
эйдетикалық бейнелер	kazdict
экваторлық нәсіл	kazdict
экзисгенциалдық әлеуметтану	kazdict
экзистенциялық психология	kazdict
экзоген фактор	kazdict
экологиялық ахуал	kazdict
экологиялық инфрақұрылым	kazdict
экологиялық психология	kazdict
экологиялық сәулет өнері	kazdict
экономика және саясат	kazdict
экономикалық агенттер	kazdict
экономикалық айып-пұл	kazdict
экономикалық бағдар	kazdict
экономикалық белсенді емес адамдар	kazdict
экономикалық география	kazdict
экономикалық даму үлгісі	kazdict
экономикалық дағдарыс	kazdict
экономикалық жылдамдық	kazdict
экономикалық жүйе	kazdict
экономикалық жұмыссыздық	kazdict
экономикалық интеграция	kazdict
экономикалық контрабанда	kazdict
экономикалық материализм	kazdict
экономикалық мобилділік	kazdict
экономикалық пайда	kazdict
экономикалық рента	kazdict
экономикалық тиімді ауқым	kazdict
экономикалық тиімділік	kazdict
экономикалық тұрғыдан белсенді халық	kazdict
экономикалық тұрғыдан енжар халық	kazdict
экономикалық цикл	kazdict
экономикалық қатынас	kazdict
экономикалық қауіпсіздік	kazdict
экономикалық қоғамдастық	kazdict
экономикалық қызмет саласындағы қылмыстар	kazdict
экономикалық әрекет	kazdict
экономикалық өсу	kazdict
экономиканың инфрақұрылымы	kazdict
экономиканың стратегиялық маңызы бар салалары	kazdict
экрандық графика	kazdict
экс-қылмыскердің азаматтық құқығынан айырылуы	kazdict
экскурсиялық қызмет	kazdict
эксперименттік алаң	kazdict
эксперименттік жобалау	kazdict
эксперименттік педагогика	kazdict
эксперименттік психология	kazdict
эксперименттік реализм	kazdict
экспираторлық екпін	kazdict
экспоненциалды өсім	kazdict
экспорт тауарлар	kazdict
экспорт-импорт мәмілелері	kazdict
экспортты әртараптандыру	kazdict
экспорттық банк	kazdict
экспорттық баға	kazdict
экспорттық бақылау	kazdict
экспорттық бақылау жүйесі	kazdict
экспорттық бақылау жүйесінің мемлекеттік органдары	kazdict
экспорттық бақылауға жататын өнімдерді кеден аумағынан тыс жерде ұқсату	kazdict
экспорттық кредит	kazdict
экспорттық-импорттық кредит	kazdict
экспортшы тәуекелдігінің кепілдігі	kazdict
экспрессивтік қауесет	kazdict
экстраактивті ақпараттық жүйе	kazdict
экстраверсия - интроверсия	kazdict
экстремалдық психология	kazdict
эксцедент негізінде қайта сақтандыру	kazdict
эксцеденттік шарт	kazdict
электр бұрғылау машинасы	kazdict
электр дискілі ара	kazdict
электр еден сүрткіш машина	kazdict
электр лобзик	kazdict
электр сомын бұрағыштар	kazdict
электр сүргі	kazdict
электр қайшы	kazdict
электр қашау	kazdict
электр қуаты	kazdict
электр қырықтық	kazdict
электр ұстарасы	kazdict
электр. электр кернеуі. электр самаурын	kazdict
электрлі стимуляция	kazdict
электрлік кедергі	kazdict
электрлік қауіпсіздік	kazdict
электрмен жылыту	kazdict
электрмәшине зәкірі	kazdict
электромагниттік индукция заңы	kazdict
электрондануға дайын болу	kazdict
электронды ақша	kazdict
электронды ақша аударымы	kazdict
электронды баспа	kazdict
электронды биржа	kazdict
электронды дүкен	kazdict
электронды коммерция	kazdict
электронды консалтинг	kazdict
электронды кітап	kazdict
электронды маркетинг	kazdict
электронды мониторинг	kazdict
электронды пошта	kazdict
электронды салықтар	kazdict
электронды сандық қол	kazdict
электронды сағат	kazdict
электронды тізімдеме	kazdict
электронды хабарламалар тақтасы	kazdict
электронды хабарландырулар тақтасы	kazdict
электронды құжат айналымы	kazdict
электронды үкімет	kazdict
